transaction_id,user_id,date,transaction_type,category,amount,payment_mode,location,notes,year,month,day,weekday,is_weekend,year_month,merchant,amount_log1p
T05569,U049,2021-09-24,Expense,Food,258.0,Bank Transfer,Lucknow,Dinner at resto,2021,9,24,Friday,False,2021-09,unknown,5.556828061699537
T10777,U044,2022-02-07,Expense,Travel,336.0,UPI,Kolkata,Uber to office,2022,2,7,Monday,False,2022-02,unknown,5.820082930352362
T11684,U114,2022-01-20,Expense,Food,383.0,Bank Transfer,Hyderabad,Grocery shopping,2022,1,20,Thursday,False,2022-01,unknown,5.950642552587727
T14503,U119,2022-08-03,Expense,Savings,93.0,Card,Ahmedabad,,2022,8,3,Wednesday,False,2022-08,unknown,4.543294782270004
T11737,U059,2021-04-16,Expense,Food,82.0,Cash,Lucknow,,2021,4,16,Friday,False,2021-04,unknown,4.418840607796598
T08540,U095,2021-06-26,Expense,Food,1761.0,Cash,Hyderabad,wkAdxBaz8rnYSOE,2021,6,26,Saturday,True,2021-06,unknown,7.474204806496124
T11492,U149,2020-12-28,Expense,Rent,1580.0,UPI,Lucknow,Uber to office,2020,12,28,Monday,False,2020-12,unknown,7.365812837209472
T10632,U157,2021-11-19,Expense,Reent,856.0,UPI,Mumbai,Paid electricity bill ,2021,11,19,Friday,False,2021-11,unknown,6.75343791859778
T02786,U150,2019-10-22,Expense,Rent,46.0,Cash,Hyderabad,,2019,10,22,Tuesday,False,2019-10,unknown,3.8501476017100584
T14674,U158,2022-04-17,Income,Bonus,35621.0,Card,Pune,Uber to office,2022,4,17,Sunday,True,2022-04,unknown,10.48071870349873
T06474,U136,2019-04-24,Expense,Rent,490.0,Bank Transfer,Mumbai,Doctor visit,2019,4,24,Wednesday,False,2019-04,unknown,6.19644412779452
T05913,U070,2020-07-13,Expense,Food,1096.0,UPI,,Uber to office,2020,7,13,Monday,False,2020-07,unknown,7.00033446027523
T02520,U088,2021-01-01,Expense,Health,193.0,Bank Transfer,Ahmedabad,Netflix subscription,2021,1,1,Friday,False,2021-01,unknown,5.267858159063328
T02736,U040,2020-08-05,Expense,Entertainment,187.0,Bank Transfer,Bengaluru,Doctor visit cash,2020,8,5,Wednesday,False,2020-08,unknown,5.236441962829949
T00990,U014,2022-10-16,Expense,Others,2506.0,Bank Transfer,Ahmedabad,Doctor visit cash,2022,10,16,Sunday,True,2022-10,unknown,7.826842098158293
T08692,U116,2020-05-04,Income,Salary,56751.0,UPI,Bengaluru,Paid electricity bill,2020,5,4,Monday,False,2020-05,unknown,10.946446177013403
T07857,U002,2019-08-07,Income,Other Income,63433.0,Bank Transfer,Ahmedabad,Paid electricity bill cash,2019,8,7,Wednesday,False,2019-08,unknown,11.057755274282396
T08139,U079,2022-12-18,Income,Bonus,55318.0,Cash,Bengaluru,Monthly rent cash,2022,12,18,Sunday,True,2022-12,unknown,10.920871708970335
T02021,U035,2022-04-29,Expense,Others,206.0,UPI,Kolkata,Uber to office,2022,4,29,Friday,False,2022-04,unknown,5.332718793265369
T08463,U179,2022-10-28,Expense,Utilities,215.0,Cash,Bengaluru,Uber to office ,2022,10,28,Friday,False,2022-10,unknown,5.375278407684165
T09732,U071,2019-02-16,Expense,Travel,2871.0,Card,mumbai,Monthly rent via app,2019,2,16,Saturday,True,2019-02,unknown,7.962763930168115
T08387,U009,2020-07-15,Expense,Utilities,272.0,UPI,Pune,VDSr4SI1JVHg,2020,7,15,Wednesday,False,2020-07,unknown,5.60947179518496
T04370,U119,2021-03-31,Expense,Food,5387.0,Bank Transfer,Pune,A7Brvt0bSrovLXo,2021,3,31,Wednesday,False,2021-03,unknown,8.591929537530255
T03937,U104,2022-06-18,Income,Other Income,53334.0,Cash,Ahmedabad,Grocery shopping ,2022,6,18,Saturday,True,2022-06,unknown,10.884348055059583
T12024,U066,2022-03-01,Expense,Travel,239.0,Bank Transfer,Pune,Paid electricity bill,2022,3,1,Tuesday,False,2022-03,unknown,5.480638923341991
T14443,U025,2020-02-13,Expense,Rent,129.0,UPI,Lucknow,,2020,2,13,Thursday,False,2020-02,unknown,4.867534450455582
T05759,U088,2019-12-28,Expense,Entertainment,123.0,Bank Transfer,Chennai,Dinner at resto cash,2019,12,28,Saturday,True,2019-12,unknown,4.820281565605037
T00315,U142,2019-01-09,Expense,Food,143.0,Cash,Chennai,,2019,1,9,Wednesday,False,2019-01,unknown,4.969813299576001
T05202,U088,2019-04-18,Expense,Food,125.0,Cash,Jaipur,Monthly rent,2019,4,18,Thursday,False,2019-04,unknown,4.836281906951478
T11066,U031,2020-12-13,Expense,unknown,367.0,Bank Transfer,Kolkata,NLS1gMaaOza0C0cf,2020,12,13,Sunday,True,2020-12,unknown,5.908082938168931
T01016,U041,2019-12-01,Expense,Others,517.0,Cash,Kolkata,Doctor visit,2019,12,1,Sunday,True,2019-12,unknown,6.249975242259483
T06997,U075,2019-02-10,Expense,Food,3186.0,Bank Transfer,Chennai,Grocery shopping,2019,2,10,Sunday,True,2019-02,unknown,8.066835314417336
T03039,U141,2019-10-24,Expense,Travel,266.0,Bank Transfer,Lucknow,Doctor visit,2019,10,24,Thursday,False,2019-10,unknown,5.58724865840025
T14348,U166,2021-02-12,Expense,Food,996.0,UPI,Bengaluru,Paid electricity bill late,2021,2,12,Friday,False,2021-02,unknown,6.904750769961838
T11938,U090,2021-09-10,Expense,Others,1901.0,,Chennai,,2021,9,10,Friday,False,2021-09,unknown,7.550661243105336
T07615,U038,2019-05-10,Expense,Rent,186.0,UPI,Ahmedabad,Monthly rent,2019,5,10,Friday,False,2019-05,unknown,5.231108616854587
T06608,U163,2019-06-03,Expense,Rent,216.0,Card,mumbai,zQQvRHrCGH,2019,6,3,Monday,False,2019-06,unknown,5.37989735354046
T07654,U175,2020-02-11,Expense,Others,196.0,Bank Transfer,Hyderabad,Course fee cash,2020,2,11,Tuesday,False,2020-02,unknown,5.2832037287379885
T01611,U019,2020-08-23,Expense,Rent,1015.0,UPI,Ahmedabad,Salary cash,2020,8,23,Sunday,True,2020-08,unknown,6.923628628138427
T01335,U113,2019-07-17,Income,Bonus,46491.0,UPI,Delhi,Gift,2019,7,17,Wednesday,False,2019-07,unknown,10.747035533763599
T07445,U075,2022-06-16,Expense,ood,4048.0,Bank Transfer,,Monthly rent,2022,6,16,Thursday,False,2022-06,unknown,8.30622521603216
T10705,U035,2022-05-24,Income,Other Income,32770.0,Bank Transfer,Pune,Dinner at resto,2022,5,24,Tuesday,False,2022-05,unknown,10.397299256942858
T11761,U093,2019-11-10,Expense,Entertainment,2951.0,Cash,Pune,Uber to office,2019,11,10,Sunday,True,2019-11,unknown,7.990238185720363
T11949,U127,2022-02-14,Expense,Food,56.0,Bank Transfer,Bengaluru,Grocery shopping,2022,2,14,Monday,False,2022-02,unknown,4.04305126783455
T00222,U014,2022-04-07,Expense,Traavel,745.0,Cash,Delhi,Uber to office via app,2022,4,7,Thursday,False,2022-04,unknown,6.61472560020376
T08940,U062,2021-01-02,Income,Salary,52826.0,Card,Mumbai,Paid electricity bill ,2021,1,2,Saturday,True,2021-01,unknown,10.874777702628888
T03286,U119,2020-03-27,Expense,Savings,408.0,Card,Chennai,Paid electricity bill cash,2020,3,27,Friday,False,2020-03,unknown,6.013715156042802
T13097,U067,2019-09-27,Expense,Rent,1237.0,Card,Mumbai,Gift cash,2019,9,27,Friday,False,2019-09,unknown,7.121252453244542
T01970,U044,2022-10-04,Expense,Rent,1530.0,Card,Hyderabad,Netflix subscription,2022,10,4,Tuesday,False,2022-10,unknown,7.333676395657684
T01399,U076,2019-01-06,Expense,Travel,200.0,UPI,Delhi,Grocery shopping late,2019,1,6,Sunday,True,2019-01,unknown,5.303304908059076
T08098,U049,2019-06-29,Expense,Travel,183.0,Cash,Ahmedabad,Salary,2019,6,29,Saturday,True,2019-06,unknown,5.214935757608986
T02085,U176,2022-03-14,Expense,Food,333.0,Bank Transfer,bengaluru,Doctor visit ,2022,3,14,Monday,False,2022-03,unknown,5.811140992976701
T01842,U161,2021-10-13,Expense,Food,1275.0,Card,Kolkata,Gift ,2021,10,13,Wednesday,False,2021-10,unknown,7.151485463904735
T11562,U140,2020-04-06,Expense,Entertainment,1769.0,Cash,jaipur,Paid electricity bill ,2020,4,6,Monday,False,2020-04,unknown,7.478734825567875
T07877,U032,2022-07-21,Expense,Travel,100.0,Bank Transfer,Jaipur,cJ9BkudD4Tf3Ql,2022,7,21,Thursday,False,2022-07,unknown,4.61512051684126
T03340,U107,2020-12-27,Expense,Rent,814.0,Card,delhi,Gift,2020,12,27,Sunday,True,2020-12,unknown,6.703188113240863
T14028,U175,2021-07-04,Expense,Utilities,208.0,Cash,Mumbai,Salary via app,2021,7,4,Sunday,True,2021-07,unknown,5.342334251964811
T03872,U051,2021-12-22,Expense,Education,113.0,UPI,Bengaluru,Grocery shopping,2021,12,22,Wednesday,False,2021-12,unknown,4.736198448394496
T03916,U086,2020-12-24,Expense,Rent,44.0,Cash,Kolkata,Gift,2020,12,24,Thursday,False,2020-12,unknown,3.8066624897703196
T14446,U136,2022-03-24,Expense,Rent,219.0,Card,Mumbai,Course fee,2022,3,24,Thursday,False,2022-03,unknown,5.393627546352362
T09919,U177,2019-07-01,Income,Salary,52861.0,UPI,Kolkata,Course fee,2019,7,1,Monday,False,2019-07,unknown,10.875440023235184
T02778,U103,2020-09-20,Expense,Food,33.0,CCash,Jaipur,Monthly rent,2020,9,20,Sunday,True,2020-09,unknown,3.5263605246161616
T03163,U022,2020-04-10,Expense,Entertainment,418.0,Bank Transfer,Ahmedabad,Paid electricity bill,2020,4,10,Friday,False,2020-04,unknown,6.037870919922137
T02942,U003,2021-10-30,Expense,Savings,184.0,UPI,Pune,sboT5a6RW,2021,10,30,Saturday,True,2021-10,unknown,5.220355825078324
T04791,U112,2020-03-08,Income,Other Income,68894.0,Bank Transfer,Hyderabad,Salary ,2020,3,8,Sunday,True,2020-03,unknown,11.140338885428003
T02335,U052,2019-04-22,Expense,Savings,2849.0,UPI,,Uber to office,2019,4,22,Monday,False,2019-04,unknown,7.955074273262696
T09490,U109,2022-05-28,Expense,Food,55.0,Cash,Hyderabad,Uber to office,2022,5,28,Saturday,True,2022-05,unknown,4.02535169073515
T07421,U093,2021-02-18,Expense,Others,373.0,Cash,Jaipur,Netflix subscription via app,2021,2,18,Thursday,False,2021-02,unknown,5.924255797414532
T06200,U001,2020-08-24,Expense,Rent,201.0,Bank Transfer,Pune,,2020,8,24,Monday,False,2020-08,unknown,5.308267697401205
T04759,U144,2022-10-09,Expense,Savings,8360.0,Bank Transfer,Lucknow,Dinner at resto via app,2022,10,9,Sunday,True,2022-10,unknown,9.031333316150057
T11740,U083,2021-05-20,Expense,Food,1766.0,Cash,Chennai,Grocery shopping,2021,5,20,Thursday,False,2021-05,unknown,7.4770384723196965
T08870,U077,2021-07-20,Expense,Tavel,411.0,Bank Transfer,Ahmedabad,Paid electricity bill late,2021,7,20,Tuesday,False,2021-07,unknown,6.021023349349527
T14621,U063,2020-02-22,Expense,Rent,20.0,Card,Mumbai,kU9tfLsTrc,2020,2,22,Saturday,True,2020-02,unknown,3.044522437723423
T14576,U106,2019-10-28,Expense,Rent,78.0,Card,Ahmedabad,Netflix subscription,2019,10,28,Monday,False,2019-10,unknown,4.3694478524670215
T09583,U118,2019-11-12,Expense,Rent,720.0,Cash,Bengaluru,Grocery shopping,2019,11,12,Tuesday,False,2019-11,unknown,6.580639137284949
T12697,U165,2021-09-09,Expense,OOthers,1067.0,UPI,Hyderabad,Netflix subscription cash,2021,9,9,Thursday,False,2021-09,unknown,6.97354301952014
T00428,U041,2020-06-29,Expense,Food,693.0,Bank Transfer,Hyderabad,Doctor visit,2020,6,29,Monday,False,2020-06,unknown,6.542471960506805
T13693,U161,2021-02-15,Expense,Travel,641.0,Card,Delhi,Paid electricity bill,2021,2,15,Monday,False,2021-02,unknown,6.464588303689961
T03728,U066,2022-06-07,Expense,Utilites,389.0,UPI,Bengaluru,,2022,6,7,Tuesday,False,2022-06,unknown,5.966146739123692
T08570,U087,2020-03-09,Expense,Food,556.0,Card,Lucknow,Salary cash,2020,3,9,Monday,False,2020-03,unknown,6.322565239927284
T14413,U181,2022-05-10,Income,Salary,60559.0,UPI,Jaipur,Grocery shopping late,2022,5,10,Tuesday,False,2022-05,unknown,11.01138988811133
T00734,U019,2021-04-10,Expense,Health,57.0,Bank Transfer,Mumbai,Doctor visit,2021,4,10,Saturday,True,2021-04,unknown,4.060443010546419
T03776,U048,2020-09-05,Expense,Food,641.0,Card,Bengaluru,CoBzaIzlT,2020,9,5,Saturday,True,2020-09,unknown,6.464588303689961
T02361,U087,2022-06-24,Expense,Travel,564.0,UPI,Delhi,Doctor visit late,2022,6,24,Friday,False,2022-06,unknown,6.336825731146441
T11868,U053,2019-04-29,Expense,Rent,1229.0,Cash,pune,Grocery shopping ,2019,4,29,Monday,False,2019-04,unknown,7.114769448366463
T13423,U102,2021-12-06,Expense,unknown,435.0,Cash,Hyderabad,Gift,2021,12,6,Monday,False,2021-12,unknown,6.077642243349034
T08941,U071,2019-08-02,Expense,Food,189.0,UPI,Ahmedabad,Netflix subscription,2019,8,2,Friday,False,2019-08,unknown,5.247024072160486
T12761,U005,2021-01-31,Expense,Entertainment,37.0,Bank Transfer,JAIPUR,Gift,2021,1,31,Sunday,True,2021-01,unknown,3.6375861597263857
T00663,U169,2020-11-16,Expense,Travel,175.0,Card,Delhi,Salary,2020,11,16,Monday,False,2020-11,unknown,5.170483995038151
T05581,U170,2021-11-11,Expense,Food,2183.0,UPI,Hyderabad,Salary cash,2021,11,11,Thursday,False,2021-11,unknown,7.688913336864796
T04057,U147,2021-05-29,Expense,eRnt,705.0,Cash,Bengaluru,Salary,2021,5,29,Saturday,True,2021-05,unknown,6.559615237493242
T06229,U175,2019-01-07,Expense,Trave,404.0,Bank Transfer,Pune,Course fee,2019,1,7,Monday,False,2019-01,unknown,6.003887067106539
T13394,U134,2019-02-04,Income,Bonus,45883.0,Card,Mumbai,Course fee cash,2019,2,4,Monday,False,2019-02,unknown,10.733871751401159
T04446,U111,2022-05-26,Expense,Food,40.0,Cash,Pune,Monthly rent cash,2022,5,26,Thursday,False,2022-05,unknown,3.713572066704308
T11310,U028,2021-08-29,Income,Salary,69360.0,Bank Transfer,Mumbai,Gift cash,2021,8,29,Sunday,True,2021-08,unknown,11.147080028882211
T11529,U033,2021-01-03,Expense,Food,227.0,Cash,Bengaluru,Netflix subscription late,2021,1,3,Sunday,True,2021-01,unknown,5.429345628954441
T13813,U143,2021-12-09,Expense,Food,757.0,UPI,Kolkata,16wmjUjz,2021,12,9,Thursday,False,2021-12,unknown,6.630683385642372
T00554,U005,2019-01-23,Expense,Food,81.0,Card,Ahmedabad,Netflix subscription,2019,1,23,Wednesday,False,2019-01,unknown,4.406719247264253
T14182,U082,2021-06-11,Expense,Food,196.0,Bank Transfer,Jaipur,Monthly rent,2021,6,11,Friday,False,2021-06,unknown,5.2832037287379885
T05044,U160,2021-06-25,Income,Bonus,53159.0,Cash,Lucknow,,2021,6,25,Friday,False,2021-06,unknown,10.881061512827182
T05971,U148,2021-05-28,Expense,Travel,86.0,UPI,Lucknow,Monthly rent,2021,5,28,Friday,False,2021-05,unknown,4.465908118654584
T10626,U049,2021-04-21,Expense,Rent,641.0,Cash,bengaluru,Salary,2021,4,21,Wednesday,False,2021-04,unknown,6.464588303689961
T05376,U053,2019-10-14,Expense,Rent,143.0,Bank Transfer,Kolkata,Netflix subscription via app,2019,10,14,Monday,False,2019-10,unknown,4.969813299576001
T03003,U095,2020-04-21,Expense,Savingss,2035.0,Card,Chennai,Salary,2020,4,21,Tuesday,False,2020-04,unknown,7.618742377670413
T06854,U074,2021-03-18,Expense,Rent,51.0,Cash,Pune,zldFyXXwJ,2021,3,18,Thursday,False,2021-03,unknown,3.9512437185814275
T01355,U095,2019-10-15,Expense,Rent,1766.0,Cash,Delhi,,2019,10,15,Tuesday,False,2019-10,unknown,7.4770384723196965
T00101,U177,2021-06-13,Expense,Food,575.0,Bank Transfer,Jaipur,Netflix subscription,2021,6,13,Sunday,True,2021-06,unknown,6.3561076606958915
T11581,U112,2022-08-17,Expense,Rent,123.0,Card,,Netflix subscription cash,2022,8,17,Wednesday,False,2022-08,unknown,4.820281565605037
T07843,U067,2021-01-16,Expense,Health,195.0,Bank Transfer,Hyderabad,Salary,2021,1,16,Saturday,True,2021-01,unknown,5.278114659230517
T07405,U080,2020-01-17,Expense,Food,587.0,Card,Bengaluru,LDRxleWusbe7ZvYa,2020,1,17,Friday,False,2020-01,unknown,6.376726947898627
T06736,U061,2020-10-14,Expense,Rent,555.0,UPI,,Dinner at resto,2020,10,14,Wednesday,False,2020-10,unknown,6.320768294250582
T07517,U005,2020-05-11,Expense,Rent,61.0,UPI,Hyderabad,Doctor visit,2020,5,11,Monday,False,2020-05,unknown,4.127134385045092
T06119,U147,2019-06-28,Expense,Utilities,824.0,Cash,Pune,Dinner at resto,2019,6,28,Friday,False,2019-06,unknown,6.715383386334681
T00904,U189,2019-06-03,Expense,Savings,443.0,Bank Transfer,Delhi,Dinner at resto cash,2019,6,3,Monday,False,2019-06,unknown,6.095824562432225
T08456,U076,2022-04-10,Expense,Food,225.0,Cash,Chennai,Paid electricity bill,2022,4,10,Sunday,True,2022-04,unknown,5.420534999272286
T14290,U066,2020-12-07,Income,Bonus,63456.0,UPI,Bengaluru,,2020,12,7,Monday,False,2020-12,unknown,11.058117790146436
T13075,U077,2020-04-30,Expense,Rent,326.0,Card,Ahmedabad,Dinner at resto ,2020,4,30,Thursday,False,2020-04,unknown,5.7899601708972535
T03061,U087,2019-10-29,Expense,Rent,1881.0,Card,Lucknow,Course fee,2019,10,29,Tuesday,False,2019-10,unknown,7.540090320145325
T11432,U159,2022-07-09,Expense,Trave,111.0,Bank Transfer,Delhi,1yv2UgqhuT,2022,7,9,Saturday,True,2022-07,unknown,4.718498871295094
T04560,U020,2022-01-24,Expense,Travel,5172.0,Bank Transfer,Mumbai,Course fee,2022,1,24,Monday,False,2022-01,unknown,8.551208070003515
T02114,U189,2021-06-20,Expense,Travel,1703.0,Cash,Lucknow,Doctor visit via app,2021,6,20,Sunday,True,2021-06,unknown,7.440733707389261
T12679,U181,2021-03-11,Income,Other Income,58619.0,UPI,Mumbai,,2021,3,11,Thursday,False,2021-03,unknown,10.978831214264883
T14712,U016,2021-08-04,Expense,Savings,1711.0,Card,Pune,Uber to office via app,2021,8,4,Wednesday,False,2021-08,unknown,7.445417556701687
T06760,U051,2019-11-23,Income,Other Income,45038.0,Bank Transfer,Ahmedabad,Doctor visit,2019,11,23,Saturday,True,2019-11,unknown,10.715284060080414
T10248,U108,2019-06-26,Expense,Entertainment,1050.0,Cash,Hyderabad,Uber to office,2019,6,26,Wednesday,False,2019-06,unknown,6.957497370876951
T13425,U023,2019-03-13,Expense,Travel,617.0,Cash,Ahmedabad,Course fee ,2019,3,13,Wednesday,False,2019-03,unknown,6.42648845745769
T05533,U026,2021-06-24,Expense,Travel,45.0,Cash,Delhi,,2021,6,24,Thursday,False,2021-06,unknown,3.828641396489095
T07945,U058,2022-12-20,Expense,Rent,104.0,Cash,hyderabad,Uber to office,2022,12,20,Tuesday,False,2022-12,unknown,4.653960350157523
T13942,U013,2021-05-14,Expense,Food,2421.0,Card,JAIPUR,,2021,5,14,Friday,False,2021-05,unknown,7.792348924113037
T14822,U185,2020-01-09,Income,Other Income,69193.0,Cash,Delhi,Dinner at resto ,2020,1,9,Thursday,False,2020-01,unknown,11.144669432644335
T06956,U074,2020-11-17,Expense,Education,143.0,Bank Transfer,Bengaluru,,2020,11,17,Tuesday,False,2020-11,unknown,4.969813299576001
T11139,U088,2021-03-17,Expense,Rent,959.0,Bank Transfer,,Salary,2021,3,17,Wednesday,False,2021-03,unknown,6.866933284461882
T11916,U163,2019-03-12,Income,Salary,41560.0,Cash,Lucknow,Doctor visit late,2019,3,12,Tuesday,False,2019-03,unknown,10.634917506521377
T08529,U168,2019-05-29,Expense,eRnt,77.0,UPI,,Monthly rent,2019,5,29,Wednesday,False,2019-05,unknown,4.356708826689592
T14294,U155,2022-09-02,Expense,Travel,1175.0,Bank Transfer,Mumbai,Gift,2022,9,2,Friday,False,2022-09,unknown,7.069874128458572
T12514,U093,2020-01-11,Expense,Utilities,85.0,Bank Transfer,Chennai,Uber to office ,2020,1,11,Saturday,True,2020-01,unknown,4.454347296253507
T09379,U117,2021-04-29,Expense,Rent,232.0,,Bengaluru,Uber to office,2021,4,29,Thursday,False,2021-04,unknown,5.4510384535657
T14731,U026,2021-02-11,Expense,Food,1588.0,Card,Chennai,Uber to office via app,2021,2,11,Thursday,False,2021-02,unknown,7.370860166536716
T06479,U152,2021-04-14,Expense,Travel,374.0,UPI,Pune,Netflix subscription,2021,4,14,Wednesday,False,2021-04,unknown,5.926926025970411
T05787,U014,2022-10-22,Expense,Food,263.0,UPI,Jaipur,Gift via app,2022,10,22,Saturday,True,2022-10,unknown,5.575949103146316
T09733,U191,2021-01-30,Expense,Entertainment,757.0,Card,Pune,Gift late,2021,1,30,Saturday,True,2021-01,unknown,6.630683385642372
T02638,U040,2021-01-17,Expense,Rent,50.0,UPI,Mumbai,Grocery shopping ,2021,1,17,Sunday,True,2021-01,unknown,3.9318256327243257
T06460,U061,2021-11-12,Income,Bonus,43834.0,Cash,Delhi,Gift cash,2021,11,12,Friday,False,2021-11,unknown,10.688187864022686
T02527,U099,2020-11-10,Expense,Utilities,472.0,Cash,Lucknow,Uber to office cash,2020,11,10,Tuesday,False,2020-11,unknown,6.159095388491933
T10439,U135,2021-01-22,Income,Salary,49691.0,UPI,Pune,Salary via app,2021,1,22,Friday,False,2021-01,unknown,10.813599233333568
T12034,U100,2020-07-25,Expense,rTavel,1413.0,Caard,delhi,nqj5djeLfknN4JU,2020,7,25,Saturday,True,2020-07,unknown,7.254177846456518
T14582,U014,2021-10-09,Expense,Education,207.0,Card,Hyderabad,Netflix subscription,2021,10,9,Saturday,True,2021-10,unknown,5.337538079701318
T03605,U090,2022-04-08,Expense,Entertainment,923.0,Cash,Bengaluru,Course fee ,2022,4,8,Friday,False,2022-04,unknown,6.828712071641684
T03072,U131,2020-12-24,Expense,Utilities,157.0,Bank Transfer,Kolkata,4qk8NxcvcHAcxzQrBB,2020,12,24,Thursday,False,2020-12,unknown,5.062595033026967
T08208,U185,2019-01-30,Expense,Savings,2425.0,Cash,Mumbai,Monthly rent,2019,1,30,Wednesday,False,2019-01,unknown,7.793999089503996
T02374,U089,2020-02-06,Expense,Rent,106.0,UPI,Pune,Doctor visit,2020,2,6,Thursday,False,2020-02,unknown,4.672828834461906
T05338,U050,2021-07-29,Expense,Food,406.0,Card,Kolkata,,2021,7,29,Thursday,False,2021-07,unknown,6.008813185442595
T06327,U060,2020-09-26,Expense,Food,264.0,Bank Transfer,Kolkata,lPujru8v5kb9vKPv,2020,9,26,Saturday,True,2020-09,unknown,5.579729825986222
T13510,U070,2022-07-21,Expense,Utilities,133.0,UPI,Mumbai,Uber to office ,2022,7,21,Thursday,False,2022-07,unknown,4.897839799950911
T10985,U114,2021-03-11,Expense,Savings,747.0,Cash,Mumbai,Uber to office,2021,3,11,Thursday,False,2021-03,unknown,6.617402977974478
T00159,U152,2022-11-15,Expense,Others,914.0,Cash,Mumbai,,2022,11,15,Tuesday,False,2022-11,unknown,6.818924065275521
T08980,U025,2021-12-11,Income,Bonus,68420.0,Bank Transfer,Delhi,Uber to office,2021,12,11,Saturday,True,2021-12,unknown,11.13343507403426
T07670,U084,2021-05-15,Expense,Travel,348.0,UPI,Pune,Paid electricity bill,2021,5,15,Saturday,True,2021-05,unknown,5.855071922202427
T11084,U053,2019-11-01,Income,Bonus,57190.0,UPI,Jaipur,Salary ,2019,11,1,Friday,False,2019-11,unknown,10.954151822330893
T11154,U031,2020-03-23,Expense,Foo,568.0,Bank Transfer,,Dinner at resto ,2020,3,23,Monday,False,2020-03,unknown,6.343880434126331
T06945,U077,2022-10-18,Expense,Travel,125.0,Bank Transfer,mumbai,Paid electricity bill late,2022,10,18,Tuesday,False,2022-10,unknown,4.836281906951478
T11314,U124,2019-05-30,Expense,Others,726.0,UPI,Chennai,Salary,2019,5,30,Thursday,False,2019-05,unknown,6.588926477533519
T01430,U121,2020-04-29,Expense,Food,301.0,UPI,Kolkata,Paid electricity bill cash,2020,4,29,Wednesday,False,2020-04,unknown,5.71042701737487
T02530,U164,2020-10-19,Income,Salary,39615.0,UPI,Bengaluru,Paid electricity bill,2020,10,19,Monday,False,2020-10,unknown,10.586988356044268
T10146,U042,2019-05-06,Expense,Health,324.0,Bank Transfer,Kolkata,Uber to office ,2019,5,6,Monday,False,2019-05,unknown,5.783825182329737
T07377,U064,2020-08-12,Expense,Rent,1789.0,Card,Hyderabad,iU4GRmkU,2020,8,12,Wednesday,False,2020-08,unknown,7.489970898834801
T10891,U143,2021-07-11,Expense,Rent,61.0,Card,Mumbai,RQEpVsCm,2021,7,11,Sunday,True,2021-07,unknown,4.127134385045092
T05368,U170,2021-01-16,Expense,Food,64.0,Cash,Delhi,Monthly rent ,2021,1,16,Saturday,True,2021-01,unknown,4.174387269895637
T09121,U146,2022-03-15,Income,Salary,66226.0,Bank Transfer,Pune,Paid electricity bill cash,2022,3,15,Tuesday,False,2022-03,unknown,11.100843513759758
