year_month,category,amount,monthly_amount_lag1,rolling_mean_3m
2019-03,Other Inncome,72940.0,,
2019-03,Otherrs,505.0,,
2019-03,Others,8961.0,4285.0,7525.333333333333
2019-03,Food,56117.0,61156.0,55610.333333333336
2019-04,Retn,1445.0,1364.0,
2019-04,Salary,925020.0,1050212.0,982420.6666666666
2019-04,Tavel,57.0,451.0,181.0
2019-04,Traavel,9088.0,,
2019-04,oFod,529.0,,
2019-04,Travl,218.0,1457.0,
2019-04,Utilities,14698.0,25552.0,18274.0
2019-04,unknown,63089.0,131029.0,65524.333333333336
2019-04,Ret,332.0,1101.0,656.6666666666666
2019-04,Travel,16441.0,28282.0,24712.333333333332
2019-04,Rent,38965.0,57922.0,53503.333333333336
2019-04,Savings,8239.0,7492.0,9398.666666666666
2019-04,Other Income,968191.0,857022.0,914137.6666666666
2019-04,BBonus,44214.0,,
2019-04,Bonus,1019367.0,832620.0,1005350.3333333334
2019-04,EEntertainment,1079.0,,
2019-04,Entertainment,10911.0,27434.0,15888.0
2019-04,Foo,399.0,,
2019-04,Education,4485.0,4983.0,3538.3333333333335
2019-04,Others,7208.0,8961.0,6818.0
2019-04,Foood,2129.0,1856.0,
2019-04,Health,343.0,1666.0,1556.3333333333333
2019-04,Othe Income,95298.0,,
2019-04,Food,60019.0,56117.0,59097.333333333336
2019-05,Utiliies,593.0,,
2019-05,Salary,616294.0,925020.0,863842.0
2019-05,Savings,10061.0,8239.0,8597.333333333334
2019-05,Travel,15896.0,16441.0,20206.333333333332
2019-05,Utilities,19996.0,14698.0,20082.0
2019-05,unknown,10222.0,63089.0,68113.33333333333
2019-05,Utilitise,82.0,2273.0,
2019-05,eRnt,2761.0,273.0,
2019-05,ood,80.0,326.0,
2019-05,tilities,225.0,,
2019-05,Ret,1119.0,332.0,850.6666666666666
2019-05,Utilitiess,546.0,437.0,
2019-05,Rent,61437.0,38965.0,52774.666666666664
2019-05,Rentt,887.0,,
2019-05,Education,4414.0,4485.0,4627.333333333333
2019-05,Others,9263.0,7208.0,8477.333333333334
2019-05,Other Income,1117306.0,968191.0,980839.6666666666
2019-05,Health,1195.0,343.0,1068.0
2019-05,Food,42189.0,60019.0,52775.0
2019-05,Fod,2032.0,494.0,1446.0
2019-05,FFood,3504.0,,
2019-05,Entertainmnt,306.0,,
2019-05,Entertainment,15417.0,10911.0,17920.666666666668
2019-05,Bous,47556.0,,
2019-05,Bonus,1389910.0,1019367.0,1080632.3333333333
2019-05,Bons,60922.0,,
2019-05,Ren,203.0,167.0,
2019-06,Trave,809.0,404.0,
2019-06,unknown,68159.0,10222.0,47156.666666666664
2019-06,Savings,3793.0,10061.0,7364.333333333333
2019-06,Travel,23501.0,15896.0,18612.666666666668
2019-06,Tarvel,479.0,2534.0,
2019-06,Travl,1901.0,218.0,1192.0
2019-06,rTavel,2605.0,,
2019-06,Utiliities,85.0,,
2019-06,Utilities,18371.0,19996.0,17688.333333333332
2019-06,aSvings,105.0,,
2019-06,ealth,1278.0,,
2019-06,nEtertainment,164.0,,
2019-06,Trravel,46.0,524.0,
2019-06,Salary,868546.0,616294.0,803286.6666666666
2019-06,Tavel,86.0,57.0,198.0
2019-06,Retn,1379.0,1445.0,1396.0
2019-06,BBonus,77524.0,44214.0,
2019-06,Bonus,1296307.0,1389910.0,1235194.6666666667
2019-06,Education,3148.0,4414.0,4015.6666666666665
2019-06,Entertainment,16962.0,15417.0,14430.0
2019-06,Entertaniment,353.0,,
2019-06,Fodo,121.0,660.0,
2019-06,Saary,91657.0,,
2019-06,Foood,739.0,2129.0,1574.6666666666667
2019-06,Health,2153.0,1195.0,1230.3333333333333
2019-06,Other Income,667874.0,1117306.0,917790.3333333334
2019-06,Others,13327.0,9263.0,9932.666666666666
2019-06,Rennt,1955.0,1648.0,
2019-06,Rent,56018.0,61437.0,52140.0
2019-06,Food,85778.0,42189.0,62662.0
2019-07,Svings,466.0,,
2019-07,Traavel,126.0,9088.0,
2019-07,Trave,110.0,809.0,441.0
2019-07,Travel,14346.0,23501.0,17914.333333333332
2019-07,Travell,301.0,1277.0,
2019-07,Utiilities,550.0,327.0,
2019-07,aSlary,76512.0,,
2019-07,Utilities,35769.0,18371.0,24712.0
2019-07,Utillities,37.0,,
2019-07,ent,2793.0,509.0,
2019-07,oFod,135.0,529.0,
2019-07,thers,451.0,7458.0,
2019-07,Savvings,609.0,,
2019-07,Utiliies,611.0,593.0,
2019-07,unknown,188.0,68159.0,26189.666666666668
2019-07,Savings,2833.0,3793.0,5562.333333333333
2019-07,Salary,878050.0,868546.0,787630.0
2019-07,Saviings,229.0,,
2019-07,Bonus,736682.0,1296307.0,1140966.3333333333
2019-07,Education,6981.0,3148.0,4847.666666666667
2019-07,Entertainment,17601.0,16962.0,16660.0
2019-07,Fod,1262.0,2032.0,1262.6666666666667
2019-07,Food,63704.0,85778.0,63890.333333333336
2019-07,FFood,389.0,3504.0,
2019-07,Health,7346.0,2153.0,3564.6666666666665
2019-07,Oters,1334.0,,
2019-07,Other Income,1123254.0,667874.0,969478.0
2019-07,Others,11230.0,13327.0,11273.333333333334
2019-07,Ren,4514.0,203.0,1628.0
2019-07,Rent,55690.0,56018.0,57715.0
2019-07,Foodd,424.0,,
2019-08,Savings,3680.0,2833.0,3435.3333333333335
2019-08,Rentt,232.0,887.0,
2019-08,Ret,2007.0,1119.0,1152.6666666666667
2019-08,Rnet,2916.0,206.0,
2019-08,Saavings,435.0,3104.0,
2019-08,Salary,1214623.0,878050.0,987073.0
2019-08,Travel,25238.0,14346.0,21028.333333333332
2019-08,unknown,3068.0,188.0,23805.0
2019-08,Utilities,16747.0,35769.0,23629.0
2019-08,Utliities,107.0,,
2019-08,aSlary,60680.0,76512.0,
2019-08,eRnt,1031.0,2761.0,1355.0
2019-08,tilities,145.0,225.0,
2019-08,Rent,37498.0,55690.0,49735.333333333336
2019-08,Trvael,295.0,,
2019-08,Rennt,682.0,1955.0,1428.3333333333333
2019-08,Fod,533.0,1262.0,1275.6666666666667
2019-08,Othres,534.0,,
2019-08,Bonnus,64601.0,52527.0,
2019-08,Bonus,1241430.0,736682.0,1091473.0
2019-08,Bonuus,62519.0,,
2019-08,Edducation,767.0,,
2019-08,Education,1505.0,6981.0,3878.0
2019-08,Entertainment,17653.0,17601.0,17405.333333333332
2019-08,Entertainmetn,148.0,,
2019-08,RRent,642.0,1254.0,
2019-08,Food,60032.0,63704.0,69838.0
2019-08,Foood,283.0,739.0,1050.3333333333333
2019-08,Health,2292.0,7346.0,3930.3333333333335
2019-08,Other Income,709770.0,1123254.0,833632.6666666666
2019-08,Others,3374.0,11230.0,9310.333333333334
2019-08,Enterttainment,17.0,,
2019-09,Otthers,137.0,,
2019-09,RRent,3345.0,642.0,1747.0
2019-09,Rent,43581.0,37498.0,45589.666666666664
2019-09,Rnt,175.0,,
2019-09,Salary,741224.0,1214623.0,944632.3333333334
2019-09,Utilitiees,5764.0,,
2019-09,Travel,24086.0,25238.0,21223.333333333332
2019-09,Othrs,532.0,,
2019-09,Utilities,17634.0,16747.0,23383.333333333332
2019-09,ent,587.0,2793.0,1296.3333333333333
2019-09,unknown,50517.0,3068.0,17924.333333333332
2019-09,Savings,7905.0,3680.0,4806.0
2019-09,Others,16920.0,3374.0,10508.0
2019-09,Health,4641.0,2292.0,4759.666666666667
2019-09,Education,4413.0,1505.0,4299.666666666667
2019-09,Foood,923.0,283.0,648.3333333333334
2019-09,Food,60290.0,60032.0,61342.0
2019-09,Foo,2684.0,399.0,
2019-09,FFood,533.0,389.0,1475.3333333333333
2019-09,Entertainmnt,929.0,306.0,
2019-09,Entertainment,15727.0,17653.0,16993.666666666668
2019-09,Enteratinment,289.0,429.0,
2019-09,Other Income,1032506.0,709770.0,955176.6666666666
2019-09,Educatio,258.0,,
2019-09,Educatino,176.0,,
2019-09,Bonus,663373.0,1241430.0,880495.0
2019-09,Bnous,46068.0,,
2019-10,Savinngs,189.0,612.0,
2019-10,Travel,46148.0,24086.0,31824.0
2019-10,Savings,11528.0,7905.0,7704.333333333333
2019-10,Travle,6502.0,,
2019-10,Salary,1041475.0,741224.0,999107.3333333334
2019-10,eRnt,126.0,1031.0,1306.0
2019-10,nEtertainment,598.0,164.0,
2019-10,rTavel,1435.0,2605.0,
2019-10,unknown,357.0,50517.0,17980.666666666668
2019-10,Rnet,63.0,2916.0,1061.6666666666667
2019-10,Utilities,24778.0,17634.0,19719.666666666668
2019-10,Rent,58217.0,43581.0,46432.0
2019-10,Otherrs,124.0,505.0,
2019-10,Others,18381.0,16920.0,12891.666666666666
2019-10,Bonus,855279.0,663373.0,920027.3333333334
2019-10,Eduation,1171.0,,
2019-10,Education,4192.0,4413.0,3370.0
2019-10,Entertainment,8649.0,15727.0,14009.666666666666
2019-10,FFood,466.0,533.0,462.6666666666667
2019-10,Ren,497.0,4514.0,1738.0
2019-10,Health,679.0,4641.0,2537.3333333333335
2019-10,Helath,622.0,,
2019-10,Other Income,737691.0,1032506.0,826655.6666666666
2019-10,Food,51151.0,60290.0,57157.666666666664
2019-11,unknown,4048.0,357.0,18307.333333333332
2019-11,Rent,43980.0,58217.0,48592.666666666664
2019-11,ood,4086.0,80.0,1497.3333333333333
2019-11,Utilities,16152.0,24778.0,19521.333333333332
2019-11,Utilitiees,192.0,5764.0,
2019-11,Travel,12729.0,46148.0,27654.333333333332
2019-11,Savings,4702.0,11528.0,8045.0
2019-11,Salary,203624.0,1041475.0,662107.6666666666
2019-11,Rnt,458.0,175.0,
2019-11,Retn,1511.0,1379.0,1445.0
2019-11,Rentt,190.0,232.0,436.3333333333333
2019-11,ravel,1295.0,,
2019-11,Ren,114.0,497.0,1708.3333333333333
2019-11,Others,3963.0,18381.0,13088.0
2019-11,Reent,1329.0,2365.0,
2019-11,Bonnus,90174.0,64601.0,69100.66666666667
2019-11,Bonus,995342.0,855279.0,837998.0
2019-11,Bouns,90828.0,,
2019-11,Entertainment,18446.0,8649.0,14274.0
2019-11,Education,9667.0,4192.0,6090.666666666667
2019-11,Food,49483.0,51151.0,53641.333333333336
2019-11,Health,2410.0,679.0,2576.6666666666665
2019-11,Heealth,164.0,2883.0,
2019-11,Other Income,1087166.0,737691.0,952454.3333333334
2019-11,Other nIcome,39404.0,,
2019-11,Fod,1076.0,533.0,957.0
2019-12,Savings,7759.0,4702.0,7996.333333333333
2019-12,Retn,46.0,1511.0,978.6666666666666
2019-12,Saivngs,1027.0,,
2019-12,Salary,911054.0,203624.0,718717.6666666666
2019-12,TTravel,2502.0,,
2019-12,Rent,56037.0,43980.0,52744.666666666664
2019-12,Travel,22248.0,12729.0,27041.666666666668
2019-12,Utiilities,3315.0,550.0,1397.3333333333333
2019-12,Utilities,19415.0,16152.0,20115.0
2019-12,eRnt,103.0,126.0,420.0
2019-12,Traavel,2114.0,126.0,3776.0
2019-12,unknown,360.0,4048.0,1588.3333333333333
2019-12,Reent,469.0,1329.0,1387.6666666666667
2019-12,Other Income,894011.0,1087166.0,906289.3333333334
2019-12,Others,19992.0,3963.0,14112.0
2019-12,Education,3586.0,9667.0,5815.0
2019-12,Entertaainment,2809.0,,
2019-12,Entertainment,16016.0,18446.0,14370.333333333334
2019-12,Bonus,998361.0,995342.0,949660.6666666666
2019-12,FFood,238.0,466.0,412.3333333333333
2019-12,Fodo,431.0,121.0,404.0
2019-12,Food,54358.0,49483.0,51664.0
2019-12,Health,2918.0,2410.0,2002.3333333333333
2019-12,Entretainment,166.0,,
2020-01,Utiliteis,412.0,,
2020-01,Salary,676391.0,911054.0,597023.0
2020-01,Savings,6813.0,7759.0,6424.666666666667
2020-01,Savinngs,847.0,189.0,549.3333333333334
2020-01,Savnigs,509.0,,
2020-01,Svings,187.0,466.0,
2020-01,Travel,23869.0,22248.0,19615.333333333332
2020-01,Trvel,2175.0,,
2020-01,Utilities,32141.0,19415.0,22569.333333333332
2020-01,ent,1067.0,587.0,1482.3333333333333
2020-01,Utiltiies,6265.0,,
2020-01,Utliities,2072.0,107.0,
2020-01,Utlities,174.0,,
2020-01,Ret,243.0,2007.0,1123.0
2020-01,oFod,504.0,135.0,389.3333333333333
2020-01,onus,58567.0,,
2020-01,tilities,175.0,145.0,181.66666666666666
2020-01,unknown,1972.0,360.0,2126.6666666666665
2020-01,Utilitis,157.0,80.0,
2020-01,Rent,69158.0,56037.0,56391.666666666664
2020-01,ravel,88.0,1295.0,
2020-01,RRent,1718.0,3345.0,1901.6666666666667
2020-01,Bonus,353913.0,998361.0,782538.6666666666
2020-01,Education,2967.0,3586.0,5406.666666666667
2020-01,Enteratinment,61.0,289.0,259.6666666666667
2020-01,Entertainment,16715.0,16016.0,17059.0
2020-01,Entertainmnet,31.0,,
2020-01,Entertanment,2678.0,,
2020-01,Entetrainment,1390.0,,
2020-01,Foo,1026.0,2684.0,1369.6666666666667
2020-01,Food,68614.0,54358.0,57485.0
2020-01,Enteertainment,111.0,,
2020-01,Heaalth,43.0,,
2020-01,Foood,1432.0,923.0,879.3333333333334
2020-01,Othres,1725.0,534.0,
2020-01,Others,3472.0,19992.0,9142.333333333334
2020-01,Otherrs,155.0,124.0,261.3333333333333
2020-01,Rennt,460.0,682.0,1032.3333333333333
2020-01,Other Income,863567.0,894011.0,948248.0
2020-01,Ohers,169.0,,
2020-01,Health,5306.0,2918.0,3544.6666666666665
2020-01,Other Inncome,49763.0,72940.0,
2020-02,Others,3691.0,3472.0,9051.666666666666
2020-02,Rennt,452.0,460.0,531.3333333333334
2020-02,Rent,33016.0,69158.0,52737.0
2020-02,SSavings,2276.0,,
2020-02,Salary,781427.0,676391.0,789624.0
2020-02,Savings,5805.0,6813.0,6792.333333333333
2020-02,Utilities,3323.0,32141.0,18293.0
2020-02,Utilitiees,223.0,192.0,2059.6666666666665
2020-02,ent,1874.0,1067.0,1176.0
2020-02,oFod,161.0,504.0,266.6666666666667
2020-02,tilities,1496.0,175.0,605.3333333333334
2020-02,unknown,6096.0,1972.0,2809.3333333333335
2020-02,Travel,22519.0,23869.0,22878.666666666668
2020-02,ravel,449.0,88.0,610.6666666666666
2020-02,Otehrs,125.0,,
2020-02,Health,1175.0,5306.0,3133.0
2020-02,Other Income,601068.0,863567.0,786215.3333333334
2020-02,Bnus,49738.0,,
2020-02,EEducation,630.0,,
2020-02,Education,4795.0,2967.0,3782.6666666666665
2020-02,Enntertainment,578.0,,
2020-02,Entertainment,27901.0,16715.0,20210.666666666668
2020-02,Bonus,497789.0,353913.0,616687.6666666666
2020-02,Entretainment,2447.0,166.0,
2020-02,Fodo,1949.0,431.0,833.6666666666666
2020-02,Foo,174.0,1026.0,1294.6666666666667
2020-02,Food,62783.0,68614.0,61918.333333333336
2020-02,Foodd,1101.0,424.0,
2020-02,Entertaniment,1495.0,353.0,
2020-03,Travell,223.0,301.0,600.3333333333334
2020-03,Salary,1043467.0,781427.0,833761.6666666666
2020-03,Savigs,565.0,158.0,
2020-03,Saviings,149.0,229.0,
2020-03,Savings,11637.0,5805.0,8085.0
2020-03,Slary,36072.0,,
2020-03,Tarvel,133.0,479.0,1048.6666666666667
2020-03,Travel,20647.0,22519.0,22345.0
2020-03,Trravel,531.0,46.0,367.0
2020-03,oBnus,62310.0,86907.0,
2020-03,Utilitiees,436.0,223.0,283.6666666666667
2020-03,Utilities,18905.0,3323.0,18123.0
2020-03,Utillities,156.0,37.0,
2020-03,Utilties,47.0,1747.0,
2020-03,ent,765.0,1874.0,1235.3333333333333
2020-03,ravel,121.0,449.0,219.33333333333334
2020-03,unknown,75405.0,6096.0,27824.333333333332
2020-03,Rnt,3185.0,458.0,1272.6666666666667
2020-03,Trvel,954.0,2175.0,
2020-03,Rent,47062.0,33016.0,49745.333333333336
2020-03,Bonus,393558.0,497789.0,415086.6666666667
2020-03,Othr Income,75649.0,,
2020-03,Rennt,172.0,452.0,361.3333333333333
2020-03,Bous,46898.0,47556.0,
2020-03,Education,4044.0,4795.0,3935.3333333333335
2020-03,Entertainment,11850.0,27901.0,18822.0
2020-03,Entertainmetn,896.0,148.0,
2020-03,Entertanment,65.0,2678.0,
2020-03,FFood,55.0,238.0,253.0
2020-03,Fod,1344.0,1076.0,984.3333333333334
2020-03,Fodo,1933.0,1949.0,1437.6666666666667
2020-03,Bnous,45224.0,46068.0,
2020-03,Food,64415.0,62783.0,65270.666666666664
2020-03,Foood,379.0,1432.0,911.3333333333334
2020-03,Health,4447.0,1175.0,3642.6666666666665
2020-03,Oher Income,75387.0,,
2020-03,Other Icnome,35476.0,,
2020-03,Other Income,1095935.0,601068.0,853523.3333333334
2020-03,Otherrs,57.0,155.0,112.0
2020-03,Others,5732.0,3691.0,4298.333333333333
2020-03,Foo,616.0,174.0,605.3333333333334
2020-04,Savingss,2035.0,294.0,
2020-04,Savings,20647.0,11637.0,12696.333333333334
2020-04,Salaary,68844.0,,
2020-04,Salayr,51559.0,,
2020-04,Salary,989200.0,1043467.0,938031.3333333334
2020-04,TTravel,122.0,2502.0,
2020-04,Saving,409.0,,
2020-04,Travel,15498.0,20647.0,19554.666666666668
2020-04,oFod,650.0,161.0,438.3333333333333
2020-04,Trvel,205.0,954.0,1111.3333333333333
2020-04,Utilities,14024.0,18905.0,12084.0
2020-04,Utiltiies,851.0,6265.0,
2020-04,ood,32.0,4086.0,1399.3333333333333
2020-04,tOhers,641.0,,
2020-04,tilities,61.0,1496.0,577.3333333333334
2020-04,unknown,49026.0,75405.0,43509.0
2020-04,Saings,69.0,,
2020-04,Travvel,638.0,,
2020-04,Saary,51916.0,91657.0,
2020-04,Utiilties,642.0,128.0,
2020-04,Rent,45255.0,47062.0,41777.666666666664
2020-04,Rentt,96.0,190.0,172.66666666666666
2020-04,Bonu,73517.0,,
2020-04,Bonus,733735.0,393558.0,541694.0
2020-04,Educcation,268.0,,
2020-04,Entertainment,15323.0,11850.0,18358.0
2020-04,Entertinment,321.0,,
2020-04,Fod,2354.0,1344.0,1591.3333333333333
2020-04,Fodo,318.0,1933.0,1400.0
2020-04,Food,74323.0,64415.0,67173.66666666667
2020-04,Education,4510.0,4044.0,4449.666666666667
2020-04,Health,1369.0,4447.0,2330.3333333333335
2020-04,Reent,406.0,469.0,734.6666666666666
2020-04,Oter Income,60434.0,,
2020-04,Other  Income,68008.0,,
2020-04,Other Income,617085.0,1095935.0,771362.6666666666
2020-04,Others,7720.0,5732.0,5714.333333333333
2020-04,Othrs,1309.0,532.0,
2020-04,RRent,38.0,1718.0,1700.3333333333333
2020-04,Foood,145.0,379.0,652.0
2020-05,Rnt,180.0,3185.0,1274.3333333333333
2020-05,Saary,91347.0,51916.0,78306.66666666667
2020-05,Saings,210.0,69.0,
2020-05,Salary,960317.0,989200.0,997661.3333333334
2020-05,Savings,1572.0,20647.0,11285.333333333334
2020-05,Tavel,12.0,86.0,51.666666666666664
2020-05,aSvings,1655.0,105.0,
2020-05,Travel,27219.0,15498.0,21121.333333333332
2020-05,Utilities,17138.0,14024.0,16689.0
2020-05,eRnt,374.0,103.0,201.0
2020-05,oBnus,57233.0,62310.0,68816.66666666667
2020-05,Rent,45076.0,45255.0,45797.666666666664
2020-05,ood,1129.0,32.0,1749.0
2020-05,Traevl,1076.0,428.0,
2020-05,Rennt,27.0,172.0,217.0
2020-05,Other Income,789298.0,617085.0,834106.0
2020-05,Others,13279.0,7720.0,8910.333333333334
2020-05,Reent,1084.0,406.0,653.0
2020-05,Bonus,995486.0,733735.0,707593.0
2020-05,Education,7620.0,4510.0,5391.333333333333
2020-05,Entertainment,11947.0,15323.0,13040.0
2020-05,FFood,936.0,55.0,409.6666666666667
2020-05,Fod,1087.0,2354.0,1595.0
2020-05,Enterrtainment,25.0,,
2020-05,Foo,231.0,616.0,340.3333333333333
2020-05,Food,73506.0,74323.0,70748.0
2020-05,Foood,333.0,145.0,285.6666666666667
2020-05,Health,748.0,1369.0,2188.0
2020-05,Oter Income,60371.0,60434.0,
2020-05,Fodo,162.0,318.0,804.3333333333334
2020-06,Savngs,144.0,,
2020-06,Salaary,70377.0,68844.0,
2020-06,Salary,803016.0,960317.0,917511.0
2020-06,Salry,43774.0,,
2020-06,Saviings,2207.0,149.0,861.6666666666666
2020-06,Savings,5348.0,1572.0,9189.0
2020-06,unknown,2664.0,49026.0,42365.0
2020-06,ent,538.0,765.0,1059.0
2020-06,Slary,80954.0,36072.0,
2020-06,Travel,26028.0,27219.0,22915.0
2020-06,Utilitie,1635.0,,
2020-06,Utilities,18337.0,17138.0,16499.666666666668
2020-06,eRnt,110.0,374.0,195.66666666666666
2020-06,Rnet,196.0,63.0,1058.3333333333333
2020-06,Savnigs,999.0,509.0,
2020-06,Retn,88.0,46.0,548.3333333333334
2020-06,Foodd,449.0,1101.0,658.0
2020-06,Rent,32430.0,45076.0,40920.333333333336
2020-06,Bonus,1017993.0,995486.0,915738.0
2020-06,Education,2196.0,7620.0,4775.333333333333
2020-06,Entertainent,124.0,216.0,
2020-06,Entertainment,18521.0,11947.0,15263.666666666666
2020-06,Entertinment,400.0,321.0,
2020-06,FFood,912.0,936.0,634.3333333333334
2020-06,Rentt,5613.0,96.0,1966.3333333333333
2020-06,Foood,1719.0,333.0,732.3333333333334
2020-06,Health,1632.0,748.0,1249.6666666666667
2020-06,Other Incmoe,65467.0,,
2020-06,Other Income,613052.0,789298.0,673145.0
2020-06,Others,4356.0,13279.0,8451.666666666666
2020-06,Reent,1618.0,1084.0,1036.0
2020-06,Food,62012.0,73506.0,69947.0
2020-07,Salary,492265.0,803016.0,751866.0
2020-07,Savings,15730.0,5348.0,7550.0
2020-07,Savinsg,2281.0,,
2020-07,Travel,16838.0,26028.0,23361.666666666668
2020-07,Trvel,159.0,205.0,439.3333333333333
2020-07,Utilities,20230.0,18337.0,18568.333333333332
2020-07,onus,60046.0,58567.0,
2020-07,oFod,1625.0,650.0,812.0
2020-07,ood,5566.0,1129.0,2242.3333333333335
2020-07,rTavel,1413.0,1435.0,1817.6666666666667
2020-07,unknown,412.0,2664.0,17367.333333333332
2020-07,Rnt,734.0,180.0,1366.3333333333333
2020-07,eRnt,842.0,110.0,442.0
2020-07,Ret,299.0,243.0,849.6666666666666
2020-07,Rent,35837.0,32430.0,37781.0
2020-07,Ren,713.0,114.0,441.3333333333333
2020-07,Bonus,570477.0,1017993.0,861318.6666666666
2020-07,Educatino,1180.0,176.0,
2020-07,Education,3186.0,2196.0,4334.0
2020-07,Enttertainment,81.0,,
2020-07,FFood,279.0,912.0,709.0
2020-07,Entertainment,13724.0,18521.0,14730.666666666666
2020-07,Food,66578.0,62012.0,67365.33333333333
2020-07,Foood,1316.0,1719.0,1122.6666666666667
2020-07,Health,403.0,1632.0,927.6666666666666
2020-07,Other Income,602754.0,613052.0,668368.0
2020-07,Others,12846.0,4356.0,10160.333333333334
2020-07,Fod,282.0,1087.0,1241.0
2020-08,Savings,9919.0,15730.0,10332.333333333334
2020-08,Rent,36891.0,35837.0,35052.666666666664
2020-08,Retn,144.0,88.0,92.66666666666667
2020-08,Salary,699872.0,492265.0,665051.0
2020-08,Sallary,39604.0,62019.0,
2020-08,Slaary,38406.0,,
2020-08,unknown,48717.0,412.0,17264.333333333332
2020-08,Traveel,2106.0,,
2020-08,Travel,25203.0,16838.0,22689.666666666668
2020-08,Utilities,25349.0,20230.0,21305.333333333332
2020-08,oFod,364.0,1625.0,879.6666666666666
2020-08,rTavel,791.0,1413.0,1213.0
2020-08,Others,11653.0,12846.0,9618.333333333334
2020-08,Svings,69.0,187.0,240.66666666666666
2020-08,Other Inome,55546.0,,
2020-08,Bonus,868157.0,570477.0,818875.6666666666
2020-08,OOthers,199.0,,
2020-08,Other Income,693313.0,602754.0,636373.0
2020-08,Bouns,91356.0,90828.0,
2020-08,Education,4181.0,3186.0,3187.6666666666665
2020-08,Educationn,461.0,,
2020-08,Enteertainment,302.0,111.0,
2020-08,Entertainment,20978.0,13724.0,17741.0
2020-08,Eduucation,163.0,,
2020-08,Fodo,1778.0,162.0,752.6666666666666
2020-08,Foo,509.0,231.0,452.0
2020-08,Food,73557.0,66578.0,67382.33333333333
2020-08,Heaalth,692.0,43.0,
2020-08,Health,8584.0,403.0,3539.6666666666665
2020-08,Fod,264.0,282.0,544.3333333333334
2020-09,Travle,768.0,6502.0,
2020-09,Savinngs,384.0,847.0,473.3333333333333
2020-09,Tavel,271.0,12.0,123.0
2020-09,Trave,76.0,110.0,331.6666666666667
2020-09,Travel,16060.0,25203.0,19367.0
2020-09,Trvael,328.0,295.0,
